Store_Code,SKU_Code,Category,Date,SOH
Store3,602994,Cat1,2016-06-27,1
Store1,602994,Cat1,2016-06-27,1
Store2,602994,Cat1,2016-06-27,1
Store3,602991,Cat1,2016-06-27,2
Store1,602991,Cat1,2016-06-27,2
Store2,602991,Cat1,2016-06-27,1
Store3,602988,Cat1,2016-06-27,1
Store1,602988,Cat1,2016-06-27,1
Store3,602985,Cat1,2016-06-27,2
Store1,602985,Cat1,2016-06-27,2
Store3,602979,Cat1,2016-06-27,2
Store1,602979,Cat1,2016-06-27,3
Store2,602979,Cat1,2016-06-27,1
Store3,602982,Cat1,2016-06-27,1
Store1,602982,Cat1,2016-06-27,2
Store3,602958,Cat1,2016-06-27,1
Store1,602958,Cat1,2016-06-27,1
Store3,602955,Cat1,2016-06-27,3
Store1,602955,Cat1,2016-06-27,2
Store2,602955,Cat1,2016-06-27,1
Store3,602952,Cat1,2016-06-27,3
Store1,602952,Cat1,2016-06-27,2
Store2,602952,Cat1,2016-06-27,2
Store3,602949,Cat1,2016-06-27,2
Store1,602949,Cat1,2016-06-27,3
Store3,602946,Cat1,2016-06-27,2
Store1,602946,Cat1,2016-06-27,2
Store3,602943,Cat1,2016-06-27,2
Store1,602943,Cat1,2016-06-27,2
Store2,600042,Cat1,2016-06-27,1
Store1,600141,Cat1,2016-06-27,1
Store2,600141,Cat1,2016-06-27,1
Store1,600009,Cat1,2016-06-27,1
Store2,600009,Cat1,2016-06-27,1
Store3,610587,Cat1,2016-06-27,1
Store1,610587,Cat1,2016-06-27,2
Store2,610587,Cat1,2016-06-27,1
Store1,609285,Cat1,2016-06-27,2
Store2,609285,Cat1,2016-06-27,2
Store3,609288,Cat1,2016-06-27,1
Store1,609288,Cat1,2016-06-27,2
Store3,609279,Cat1,2016-06-27,2
Store1,609279,Cat1,2016-06-27,2
Store2,609279,Cat1,2016-06-27,2
Store1,609276,Cat1,2016-06-27,1
Store2,609276,Cat1,2016-06-27,2
Store1,600165,Cat1,2016-06-27,1
Store3,600162,Cat1,2016-06-27,1
Store1,600162,Cat1,2016-06-27,3
Store2,600162,Cat1,2016-06-27,1
Store3,600159,Cat1,2016-06-27,1
Store3,600156,Cat1,2016-06-27,1
Store1,600156,Cat1,2016-06-27,2
Store3,600153,Cat1,2016-06-27,2
Store1,600153,Cat1,2016-06-27,2
Store3,600147,Cat1,2016-06-27,1
Store1,600147,Cat1,2016-06-27,2
Store3,600144,Cat1,2016-06-27,1
Store1,600144,Cat1,2016-06-27,2
Store2,600144,Cat1,2016-06-27,1
Store3,609282,Cat1,2016-06-27,1
Store1,609282,Cat1,2016-06-27,1
Store2,609282,Cat1,2016-06-27,1
Store3,609273,Cat1,2016-06-27,1
Store1,609303,Cat1,2016-06-27,2
Store3,609294,Cat1,2016-06-27,2
Store1,609294,Cat1,2016-06-27,1
Store2,609294,Cat1,2016-06-27,1
Store3,600138,Cat1,2016-06-27,1
Store1,600138,Cat1,2016-06-27,3
Store2,600138,Cat1,2016-06-27,2
Store3,600135,Cat1,2016-06-27,2
Store1,600135,Cat1,2016-06-27,2
Store2,600135,Cat1,2016-06-27,2
Store3,600033,Cat1,2016-06-27,1
Store1,600033,Cat1,2016-06-27,1
Store3,600030,Cat1,2016-06-27,1
Store1,600030,Cat1,2016-06-27,1
Store2,600030,Cat1,2016-06-27,1
Store3,600027,Cat1,2016-06-27,1
Store1,600027,Cat1,2016-06-27,2
Store3,600024,Cat1,2016-06-27,1
Store1,600024,Cat1,2016-06-27,1
Store3,600021,Cat1,2016-06-27,2
Store1,600021,Cat1,2016-06-27,2
Store2,600021,Cat1,2016-06-27,1
Store1,600018,Cat1,2016-06-27,1
Store1,600015,Cat1,2016-06-27,2
Store3,609297,Cat1,2016-06-27,1
Store1,609297,Cat1,2016-06-27,2
Store2,609297,Cat1,2016-06-27,2
Store3,609300,Cat1,2016-06-27,2
Store1,609300,Cat1,2016-06-27,2
Store2,609291,Cat1,2016-06-27,1
Store1,600942,Cat2,2016-06-27,1
Store1,600960,Cat2,2016-06-27,2
Store3,600939,Cat2,2016-06-27,2
Store1,600939,Cat2,2016-06-27,2
Store3,600957,Cat2,2016-06-27,2
Store2,600957,Cat2,2016-06-27,1
Store3,600933,Cat2,2016-06-27,4
Store1,600933,Cat2,2016-06-27,1
Store3,600930,Cat2,2016-06-27,3
Store1,600930,Cat2,2016-06-27,1
Store3,601011,Cat2,2016-06-27,1
Store1,601011,Cat2,2016-06-27,2
Store2,601011,Cat2,2016-06-27,2
Store3,601008,Cat2,2016-06-27,1
Store1,601008,Cat2,2016-06-27,2
Store2,601008,Cat2,2016-06-27,1
Store3,601005,Cat2,2016-06-27,1
Store1,601005,Cat2,2016-06-27,2
Store2,601005,Cat2,2016-06-27,2
Store3,600993,Cat2,2016-06-27,1
Store1,600993,Cat2,2016-06-27,1
Store2,600993,Cat2,2016-06-27,2
Store3,600990,Cat2,2016-06-27,1
Store1,600990,Cat2,2016-06-27,1
Store2,600990,Cat2,2016-06-27,1
Store3,601002,Cat2,2016-06-27,2
Store1,601002,Cat2,2016-06-27,2
Store2,601002,Cat2,2016-06-27,1
Store3,600987,Cat2,2016-06-27,2
Store1,600987,Cat2,2016-06-27,2
Store2,600987,Cat2,2016-06-27,2
Store3,600984,Cat2,2016-06-27,2
Store1,600984,Cat2,2016-06-27,2
Store2,600984,Cat2,2016-06-27,3
Store3,600999,Cat2,2016-06-27,2
Store1,600999,Cat2,2016-06-27,2
Store2,600999,Cat2,2016-06-27,2
Store3,600012,Cat1,2016-06-27,1
Store1,600012,Cat1,2016-06-27,2
Store2,600012,Cat1,2016-06-27,1
Store3,600006,Cat1,2016-06-27,2
Store1,600006,Cat1,2016-06-27,2
Store2,600006,Cat1,2016-06-27,1
Store3,600003,Cat1,2016-06-27,2
Store1,600003,Cat1,2016-06-27,1
Store2,600003,Cat1,2016-06-27,1
Store3,608763,Cat1,2016-06-27,1
Store1,608799,Cat1,2016-06-27,1
Store2,608793,Cat1,2016-06-27,1
Store2,608790,Cat1,2016-06-27,1
Store1,608787,Cat1,2016-06-27,1
Store2,608787,Cat1,2016-06-27,1
Store2,608784,Cat1,2016-06-27,1
Store3,600981,Cat2,2016-06-27,4
Store1,600981,Cat2,2016-06-27,4
Store2,600981,Cat2,2016-06-27,2
Store3,600978,Cat2,2016-06-27,4
Store1,600978,Cat2,2016-06-27,4
Store2,600978,Cat2,2016-06-27,2
Store1,600996,Cat2,2016-06-27,1
Store2,600996,Cat2,2016-06-27,2
