,Date,Qty,MRP,SP,Promotions,Store_Code,Sales_Qty,closing-inventory
0,2015-12-13,81,0,0,0,Store1,0,81
1,2015-12-20,346,0,0,0,Store1,0,427
2,2015-12-27,0,0,0,0,Store1,0,427
3,2016-01-03,130,958,826,0,Store1,60,497
4,2016-01-10,0,812,721,0,Store1,72,425
5,2016-01-17,106,939,753,0,Store1,125,406
6,2016-01-24,14,865,717,0,Store1,65,355
7,2016-01-31,0,876,751,0,Store1,100,255
8,2016-02-07,0,961,820,0,Store1,70,185
9,2016-02-14,98,999,829,0,Store1,47,236
10,2016-02-21,48,901,779,0,Store1,57,227
11,2016-02-28,168,877,837,0,Store1,43,352
12,2016-03-06,0,1092,1077,0,Store1,39,313
13,2016-03-13,168,853,853,0,Store1,37,444
14,2016-03-20,0,1021,1021,0,Store1,32,412
15,2016-03-27,100,852,852,0,Store1,56,456
16,2016-04-03,0,783,783,0,Store1,43,413
17,2016-04-10,0,742,742,0,Store1,81,332
18,2016-04-17,0,830,830,0,Store1,80,252
19,2016-04-24,0,781,778,0,Store1,29,223
20,2016-05-01,0,721,721,0,Store1,34,189
21,2016-05-08,107,915,915,0,Store1,47,249
22,2016-05-15,0,512,512,0,Store1,36,213
23,2016-05-22,156,693,693,0,Store1,53,316
24,2016-05-29,0,772,772,0,Store1,58,258
25,2016-06-05,47,848,848,0,Store1,41,264
26,2016-06-12,0,810,808,0,Store1,46,218
27,2016-06-19,0,812,812,0,Store1,39,179
28,2016-06-26,560,809,809,0,Store1,39,700
29,2016-07-03,-244,983,642,0,Store1,137,319
30,2016-07-10,111,1028,647,0,Store1,150,280
31,2016-07-17,329,891,598,0,Store1,103,506
32,2016-07-24,0,844,649,0,Store1,91,415
33,2016-07-31,117,970,815,0,Store1,54,478
34,2016-08-07,0,868,722,0,Store1,75,403
35,2016-08-14,0,979,803,0,Store1,67,336
36,2016-08-21,191,900,791,0,Store1,61,466
37,2016-08-28,0,827,827,0,Store1,31,435
38,2016-09-04,0,839,817,0,Store1,19,416
39,2016-09-11,127,771,771,0,Store1,23,520
40,2016-09-18,127,978,978,0,Store1,36,611
41,2016-09-25,101,916,916,0,Store1,30,682
42,2016-10-02,0,900,900,0,Store1,61,621
43,2016-10-09,0,874,874,0,Store1,43,578
44,2016-10-16,0,819,763,0,Store1,55,523
45,2016-10-23,0,924,912,0,Store1,43,480
46,2016-10-30,-1059,927,927,0,Store1,28,-607
47,2016-11-06,0,852,852,0,Store1,33,-640
48,2016-11-13,0,1005,1005,0,Store1,39,-679
49,2016-11-20,130,599,599,0,Store1,41,-590
50,2016-11-27,0,1024,1024,0,Store1,39,-629
51,2016-12-04,-537,697,679,0,Store1,32,-1198
