Date,Qty,Sales-Qty,Closing_inventory
13-12-2015,81,0,81
20-12-2015,346,0,427
27-12-2015,346,0,773
03-01-2016,130,60,843
10-01-2016,130,72,901
17-01-2016,106,125,882
24-01-2016,14,65,831
31-01-2016,14,100,745
07-02-2016,14,70,689
14-02-2016,98,47,740
21-02-2016,48,57,731
28-02-2016,168,43,856
06-03-2016,168,39,985
13-03-2016,168,37,1116
20-03-2016,168,32,1252
27-03-2016,100,56,1296
03-04-2016,100,43,1353
10-04-2016,100,81,1372
17-04-2016,100,80,1392
24-04-2016,100,29,1463
01-05-2016,100,34,1529
08-05-2016,107,47,1589
15-05-2016,107,36,1660
22-05-2016,156,53,1763
29-05-2016,156,58,1861
05-06-2016,47,41,1867
12-06-2016,47,46,1868
19-06-2016,47,39,1876
26-06-2016,560,39,2397
03-07-2016,-244,137,2016
10-07-2016,111,150,1977
17-07-2016,329,103,2203
24-07-2016,329,91,2441
31-07-2016,117,54,2504
07-08-2016,117,75,2546
14-08-2016,117,67,2596
21-08-2016,191,61,2726
28-08-2016,191,31,2886
04-09-2016,191,19,3058
11-09-2016,127,23,3162
18-09-2016,127,36,3253
25-09-2016,101,30,3324
02-10-2016,101,61,3364
09-10-2016,101,43,3422
16-10-2016,101,55,3468
23-10-2016,101,43,3526
30-10-2016,-1059,28,2439
06-11-2016,-1059,33,1347
13-11-2016,-1059,39,249
20-11-2016,130,41,338
27-11-2016,130,39,429
04-12-2016,-537,32,-140
11-12-2016,577,39,398
18-12-2016,577,43,932
25-12-2016,577,56,1453
01-01-2017,-1,72,1380
08-01-2017,-1,79,1300
15-01-2017,-1,75,1224
22-01-2017,108,73,1259
29-01-2017,108,154,1213
05-02-2017,131,65,1279
12-02-2017,131,70,1340
19-02-2017,186,24,1502
26-02-2017,186,34,1654
05-03-2017,102,52,1704
12-03-2017,2,31,1675
19-03-2017,2,40,1637
26-03-2017,102,33,1706
02-04-2017,-1173,47,486
09-04-2017,37,59,464
16-04-2017,15,82,397
23-04-2017,74,71,400
30-04-2017,-10,35,355
07-05-2017,-10,50,295
14-05-2017,267,39,523
21-05-2017,267,69,721
28-05-2017,267,38,950
04-06-2017,267,41,1176
11-06-2017,897,40,2033
18-06-2017,109,41,2101
25-06-2017,109,119,2091
02-07-2017,109,118,2082
09-07-2017,109,64,2127
16-07-2017,109,85,2151
23-07-2017,260,47,2364
30-07-2017,260,63,2561
06-08-2017,260,37,2784
13-08-2017,124,62,2846
20-08-2017,11,33,2824
27-08-2017,34,31,2827
03-09-2017,160,35,2952
10-09-2017,68,36,2984
17-09-2017,68,26,3026
24-09-2017,13,37,3002
01-10-2017,46,30,3018
08-10-2017,46,0,3064
15-10-2017,85,0,3149
22-10-2017,85,0,3234
29-10-2017,33,0,3267
05-11-2017,33,238,3062
12-11-2017,148,46,3164
19-11-2017,148,52,3260
26-11-2017,197,38,3419
03-12-2017,44,27,3436
10-12-2017,44,49,3431
17-12-2017,255,62,3624
24-12-2017,198,112,3710
31-12-2017,211,93,3828
